2026-08-11 00:41:24,450 | INFO | Host GUI closed
2026-08-11 10:04:08,482 | INFO | Host started on port 9999
2026-08-11 10:04:10,053 | INFO | Connection request from 127.0.0.1
2026-08-11 10:04:13,089 | INFO | ACCEPTED: 127.0.0.1
2026-08-11 10:24:43,153 | INFO | Host started on port 9999
2026-08-11 10:24:45,221 | INFO | Connection request from 127.0.0.1
2026-08-11 10:24:47,313 | INFO | ACCEPTED: 127.0.0.1
2026-08-11 10:26:00,697 | INFO | Host GUI closed
2026-08-11 10:35:52,317 | INFO | Host started on port 9999
2026-08-11 10:35:53,449 | INFO | Connection request from 127.0.0.1
2026-08-11 10:35:54,716 | INFO | ACCEPTED: 127.0.0.1
2026-08-11 10:36:51,204 | INFO | Host GUI closed
